Filename,File ID,Duration in ms,Class ID,Classname,augmentation  id,Augmentation  type,source
108160-1_0_0.wav,108160,3730,0,breath,0,Orignal,https://freesound.org/
108160-2_0_0.wav,108160,4000,0,breath,0,Orignal,https://freesound.org/
108160-3_0_0.wav,108160,4000,0,breath,0,Orignal,https://freesound.org/
108160-4_0_0.wav,108160,2226,0,breath,0,Orignal,https://freesound.org/
146769-1_0_0.wav,146769,3540,0,breath,0,Orignal,https://freesound.org/
151215_0_0.wav,151215,3690,0,breath,0,Orignal,https://freesound.org/
162254-1_0_0.wav,162254,4000,0,breath,0,Orignal,https://freesound.org/
162254-2_0_0.wav,162254,4000,0,breath,0,Orignal,https://freesound.org/
164101-32_0_0.wav,164101,3860,0,breath,0,Orignal,https://freesound.org/
169222-1_0_0.wav,169222,3690,0,breath,0,Orignal,https://freesound.org/
169222-3_0_0.wav,169222,4000,0,breath,0,Orignal,https://freesound.org/
169222-4_0_0.wav,169222,3130,0,breath,0,Orignal,https://freesound.org/
169222-6_0_0.wav,169222,3470,0,breath,0,Orignal,https://freesound.org/
169222-7_0_0.wav,169222,3360,0,breath,0,Orignal,https://freesound.org/
169222-8_0_0.wav,169222,2820,0,breath,0,Orignal,https://freesound.org/
169222-9_0_0.wav,169222,1750,0,breath,0,Orignal,https://freesound.org/
179413-1_0_0.wav,179413,3290,0,breath,0,Orignal,https://freesound.org/
179413-2_0_0.wav,179413,3940,0,breath,0,Orignal,https://freesound.org/
18631-2_0_0.wav,18631,4000,0,breath,0,Orignal,https://freesound.org/
196395-4_0_0.wav,196395,2470,0,breath,0,Orignal,https://freesound.org/
204469-1_0_0.wav,204469,3950,0,breath,0,Orignal,https://freesound.org/
204469-3_0_0.wav,204469,3160,0,breath,0,Orignal,https://freesound.org/
204469-4_0_0.wav,204469,3960,0,breath,0,Orignal,https://freesound.org/
204469-5_0_0.wav,204469,3130,0,breath,0,Orignal,https://freesound.org/
205526-11_0_0.wav,205526,4000,0,breath,0,Orignal,https://freesound.org/
205526-12_0_0.wav,205526,4000,0,breath,0,Orignal,https://freesound.org/
205526-26_0_0.wav,205526,3124,0,breath,0,Orignal,https://freesound.org/
205526-3_0_0.wav,205526,4000,0,breath,0,Orignal,https://freesound.org/
205526-4_0_0.wav,205526,4000,0,breath,0,Orignal,https://freesound.org/
205526-5_0_0.wav,205526,4000,0,breath,0,Orignal,https://freesound.org/
205526-6_0_0.wav,205526,4000,0,breath,0,Orignal,https://freesound.org/
205526-7_0_0.wav,205526,4000,0,breath,0,Orignal,https://freesound.org/
205526-8_0_0.wav,205526,4000,0,breath,0,Orignal,https://freesound.org/
205526-9_0_0.wav,205526,4000,0,breath,0,Orignal,https://freesound.org/
207116-1_0_0.wav,207116,3720,0,breath,0,Orignal,https://freesound.org/
207116-2_0_0.wav,207116,3230,0,breath,0,Orignal,https://freesound.org/
207116-4_0_0.wav,207116,3960,0,breath,0,Orignal,https://freesound.org/
207116-5_0_0.wav,207116,3990,0,breath,0,Orignal,https://freesound.org/
207116-6_0_0.wav,207116,3200,0,breath,0,Orignal,https://freesound.org/
207116-7_0_0.wav,207116,3240,0,breath,0,Orignal,https://freesound.org/
214313-10_0_0.wav,214313,4000,0,breath,0,Orignal,https://freesound.org/
214313-11_0_0.wav,214313,4000,0,breath,0,Orignal,https://freesound.org/
214313-13_0_0.wav,214313,3550,0,breath,0,Orignal,https://freesound.org/
214313-1_0_0.wav,214313,3770,0,breath,0,Orignal,https://freesound.org/
214313-4_0_0.wav,214313,3790,0,breath,0,Orignal,https://freesound.org/
214313-6_0_0.wav,214313,3100,0,breath,0,Orignal,https://freesound.org/
214313-9_0_0.wav,214313,4000,0,breath,0,Orignal,https://freesound.org/
217945-1_0_0.wav,217945,2810,0,breath,0,Orignal,https://freesound.org/
217966-1_0_0.wav,217966,3050,0,breath,0,Orignal,https://freesound.org/
217966-2_0_0.wav,217966,3380,0,breath,0,Orignal,https://freesound.org/
217968-1_0_0.wav,217968,3930,0,breath,0,Orignal,https://freesound.org/
219590-1_0_0.wav,219590,3640,0,breath,0,Orignal,https://freesound.org/
21983-1_0_0.wav,21983,3990,0,breath,0,Orignal,https://freesound.org/
21983-2_0_0.wav,21983,1442,0,breath,0,Orignal,https://freesound.org/
232816-1_0_0.wav,232816,4000,0,breath,0,Orignal,https://freesound.org/
232816-2_0_0.wav,232816,4000,0,breath,0,Orignal,https://freesound.org/
232842-1_0_0.wav,232842,3980,0,breath,0,Orignal,https://freesound.org/
232842-2_0_0.wav,232842,4000,0,breath,0,Orignal,https://freesound.org/
233260-1_0_0.wav,233260,4000,0,breath,0,Orignal,https://freesound.org/
233260-2_0_0.wav,233260,4000,0,breath,0,Orignal,https://freesound.org/
234335-1_0_0.wav,234335,3030,0,breath,0,Orignal,https://freesound.org/
235593-10_0_0.wav,235593,3650,0,breath,0,Orignal,https://freesound.org/
235593-3_0_0.wav,235593,4000,0,breath,0,Orignal,https://freesound.org/
235593-4_0_0.wav,235593,4000,0,breath,0,Orignal,https://freesound.org/
235593-6_0_0.wav,235593,3930,0,breath,0,Orignal,https://freesound.org/
235593-7_0_0.wav,235593,3000,0,breath,0,Orignal,https://freesound.org/
235593-8_0_0.wav,235593,3710,0,breath,0,Orignal,https://freesound.org/
235593-9_0_0.wav,235593,3680,0,breath,0,Orignal,https://freesound.org/
237143-11_0_0.wav,237143,3990,0,breath,0,Orignal,https://freesound.org/
237143-19_0_0.wav,237143,1640,0,breath,0,Orignal,https://freesound.org/
237143-1_0_0.wav,237143,3910,0,breath,0,Orignal,https://freesound.org/
237143-4_0_0.wav,237143,3950,0,breath,0,Orignal,https://freesound.org/
240357-2_0_0.wav,240357,3530,0,breath,0,Orignal,https://freesound.org/
249925-10_0_0.wav,249925,3610,0,breath,0,Orignal,https://freesound.org/
249925-11_0_0.wav,249925,3570,0,breath,0,Orignal,https://freesound.org/
249925-12_0_0.wav,249925,3690,0,breath,0,Orignal,https://freesound.org/
249925-13_0_0.wav,249925,3860,0,breath,0,Orignal,https://freesound.org/
